cd_grupo;part_type_id;is_generic;needs_side;needs_position;needs_axle;needs_engine;needs_variant
19;12;False;False;False;False;True;False
20;5;False;False;False;True;False;False
20;11;False;False;False;False;True;False
20;13;False;False;False;False;True;False
20;14;False;False;False;False;True;False
20;15;False;True;False;True;False;False
21;2;False;False;False;True;False;False
21;3;False;False;False;False;False;False
8;2;False;False;False;True;False;False
1;1;False;True;False;False;False;False
6;4;False;True;False;False;False;False
12;25;False;False;False;False;True;False
12;26;False;True;False;True;False;False
10;22;False;False;False;False;True;False
9;3;False;True;False;False;False;False
11;7;False;False;False;False;True;False
1;27;False;True;False;False;False;False
9;5;False;False;False;True;False;False
12;8;False;False;False;False;True;True
10;15;False;True;False;True;False;False
18;2;False;False;False;True;False;False
14;1;False;True;False;False;False;False
14;2;False;False;False;True;False;False
14;3;False;True;False;False;False;False
14;4;False;True;False;False;False;False
14;5;False;False;False;True;False;False
21;4;False;True;False;False;False;False
10;16;False;False;False;False;True;False
9;26;False;True;False;True;False;False
12;27;False;True;False;False;False;False
10;23;False;False;False;False;True;False
23;2;False;False;False;True;False;False
2;1;False;False;True;False;False;False
13;9;False;False;False;False;True;True
13;10;True;False;False;False;True;True
13;11;False;False;False;False;True;False
5;10;True;False;False;False;True;True
4;6;False;False;False;False;True;False
